"id","date","bank_category","bank_name","atms_crms_onsite","atms_crms_offsite","pos","micro_atms","bharat_qr","upi_qr","credit_cards","debit_cards","cc_pay_trns_at_pos_vol","cc_pay_trns_at_pos_val","cc_pay_trns_online_vol","cc_pay_trns_online_val","cc_pay_trns_other_vol","cc_pay_trns_other_val","cc_cash_withdraw_atm_val","cc_cash_withdraw_atm_vol","dc_pay_trns_at_pos_vol","dc_pay_trns_at_pos_val","dc_pay_trns_online_vol","dc_pay_trns_online_val","dc_pay_trns_other_vol","dc_pay_trns_other_val","dc_cash_withdraw_atm_val","dc_cash_withdraw_atm_vol","dc_cash_withdraw_pos_val","dc_cash_withdraw_pos_vol"
39,"2022-03-01","Private Sector Banks","Kotak Mahindra Bank",1385.0,1314.0,56334.0,5020.0,21849.0,236089.0,3196377.0,23530754.0,3697560.0,11786279.83,3112625.0,16913066.42,0.0,0.0,32856.0,134435.46,5375357.0,9419902.14,4267271.0,9021503.35,0.0,0.0,10389295.0,47795916.24,0.0,0.0
40,"2022-03-01","Payment Banks","NSDL Payments Bank",0.0,0.0,0.0,30397.0,0.0,0.0,0.0,334371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.0,864.01,23785.0,11512.9,0.0,0.0,3801.0,15699.67,0.0,0.0
41,"2022-03-01","Small Finance Banks","North East Small Finance Bank",8.0,1.0,0.0,0.0,0.0,0.0,0.0,303473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19390.0,26156.09,0.0,0.0,0.0,0.0,49452.0,202993.29,0.0,0.0
42,"2022-03-01","Payment Banks","Paytm Payments Bank",1.0,70.0,403006.0,0.0,0.0,21585576.0,0.0,36619887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811299.0,954816.09,1830442.0,2084776.09,0.0,0.0,2669476.0,9729090.64,0.0,0.0
43,"2022-03-01","Public Sector Banks","Punjab & Sind Bank",657.0,19.0,1091.0,357.0,1159.0,8053.0,0.0,3546410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591821.0,1291990.74,386245.0,785117.66,0.0,0.0,1689903.0,7692797.8,0.0,0.0
44,"2022-03-01","Public Sector Banks","Punjab National Bank",8211.0,5143.0,49833.0,11265.0,564726.0,56411.0,327893.0,45957631.0,443277.0,1296879.24,180344.0,576375.14,0.0,0.0,3401.0,11026.03,9324599.0,18895014.44,5918799.0,8948889.36,0.0,0.0,31840380.0,156081568.3,0.0,0.0
45,"2022-03-01","Private Sector Banks","RBL Bank",373.0,41.0,749865.0,0.0,970367.0,70519.0,3682603.0,1308583.0,5168256.0,19565031.1,4251459.0,24654000.0,0.0,0.0,33206.0,115605.69,331311.0,617030.36,168385.0,452999.56,165.0,9805.75,638671.0,3209044.75,0.0,0.0
46,"2022-03-01","Foreign Banks","SBM Bank India",6.0,0.0,0.0,165938.0,0.0,0.0,562051.0,52011.0,341577.0,1609612.85,1047799.0,4479465.26,0.0,0.0,108845.0,681013.08,2361.0,6405.41,5323.0,12178.33,0.0,0.0,5486.0,20899.04,0.0,0.0
47,"2022-03-01","Private Sector Banks","South Indian Bank",854.0,416.0,11233.0,0.0,4541.0,51846.0,58365.0,3614563.0,170867.0,501674.62,179945.0,765550.18,0.0,0.0,0.0,0.0,1873897.0,3181562.7,499923.0,1064220.32,0.0,0.0,3150110.0,14352248.87,0.0,0.0
48,"2022-03-01","Foreign Banks","Standard Chartered Bank",91.0,76.0,0.0,0.0,0.0,0.0,1342023.0,1113075.0,1721399.0,5352945.0,1554924.0,6943036.65,0.0,0.0,3205.0,20576.2,938238.0,2179490.46,735985.0,1315377.76,39.0,838.2,1099928.0,5185318.13,0.0,0.0
49,"2022-03-01","Public Sector Banks","State Bank of India",26189.0,39350.0,924374.0,49913.0,472784.0,1558576.0,13766861.0,275922932.0,22282182.0,67147844.14,20617840.0,137034097.9,0.0,0.0,92610.0,340033.62,59661111.0,114412092.5,33511927.0,54276184.37,2552.0,28000.14,194459535.0,969705160.8,83123.0,77101.65
50,"2022-03-01","Small Finance Banks","Suryoday Small Finance Bank",0.0,0.0,0.0,66.0,0.0,0.0,0.0,413877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31082.0,32881.06,5881.0,11362.58,0.0,0.0,105825.0,479683.59,0.0,0.0
51,"2022-03-01","Private Sector Banks","Tamilnad Mercantile Bank",476.0,667.0,4792.0,0.0,0.0,0.0,32903.0,2051730.0,42267.0,183284.13,21908.0,98216.29,0.0,0.0,2183.0,8470.0,378819.0,716819.0,140115.0,213850.13,119.0,360.24,5306889.0,21809572.7,0.0,0.0
52,"2022-03-01","Public Sector Banks","UCO Bank",2095.0,222.0,11223.0,3568.0,1830.0,354332.0,0.0,11300018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1838490.0,3647945.54,1283322.0,1931029.22,798.0,12973.65,7004324.0,30931578.06,2179.0,2007.68
53,"2022-03-01","Small Finance Banks","Ujjivan Small Finance Bank",489.0,3.0,0.0,0.0,0.0,32968.0,0.0,7188300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360352.0,520456.15,159786.0,307301.76,0.0,0.0,3139036.0,13975995.74,238.0,236.49
54,"2022-03-01","Public Sector Banks","Union Bank of India",8042.0,3190.0,197533.0,8049.0,5591.0,220221.0,538325.0,47932253.0,438865.0,1307558.89,282726.0,950075.4,0.0,0.0,3485.0,19392.71,10753368.0,18087630.55,7606876.0,10848267.14,2319.0,8568.96,49725391.0,150870680.9,13354.0,13311.76
55,"2022-03-01","Small Finance Banks","Unity Small Finance Bank",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"2022-03-01","Small Finance Banks","Utkarsh Small Finance Bank",210.0,6.0,0.0,310.0,0.0,4204.0,0.0,1322048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41658.0,62789.48,14410.0,25286.3,0.0,0.0,443778.0,1544075.02,0.0,0.0
57,"2022-03-01","Private Sector Banks","Yes Bank",1031.0,190.0,57897.0,86356.0,270171.0,97831604.0,1184542.0,3606726.0,1391416.0,3890061.95,1095372.0,6029962.56,0.0,0.0,14883.0,64077.7,1312540.0,2443338.37,790594.0,1810231.16,73.0,1085.21,2561370.0,12373375.95,659.0,640.41
58,"2022-04-01","Small Finance Banks","AU Small Finance Bank",420.0,3.0,0.0,325.0,0.0,541455.0,189930.0,1992395.0,287959.0,1408914.54,207869.0,1758870.82,1385.0,672.12,4066.0,25140.3,253272.0,629248.65,192053.0,467908.41,336.0,4640.79,875817.0,5822657.6,61.0,54.9
59,"2022-04-01","Payment Banks","Airtel Payments Bank",0.0,0.0,0.0,0.0,0.0,3295262.0,0.0,1963575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218283.0,142903.38,0.0,0.0,0.0,0.0,0.0,0.0
60,"2022-04-01","Foreign Banks","American Express",0.0,0.0,46662.0,0.0,0.0,0.0,1375307.0,0.0,1048953.0,7532832.55,3345816.0,23437612.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"2022-04-01","Private Sector Banks","Axis Bank",5753.0,10848.0,1025313.0,710.0,350059.0,37281037.0,9261251.0,27912443.0,14458273.0,41235128.1,9932531.0,50521391.55,0.0,0.0,49670.0,204333.48,12507188.0,29082291.4,6094942.0,16432756.47,23388.0,581706.1,21689678.0,135340498.6,0.0,0.0
62,"2022-04-01","Private Sector Banks","Bandhan Bank",466.0,5.0,36433.0,0.0,0.0,0.0,0.0,5015559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437660.0,986710.0,523532.0,1276842.0,0.0,0.0,2581746.0,13814181.31,27611.0,27902.0
63,"2022-04-01","Foreign Banks","Bank of America",0.0,0.0,0.0,0.0,0.0,0.0,21588.0,0.0,26619.0,109051.56,13355.0,129305.23,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"2022-04-01","Public Sector Banks","Bank of Baroda",8751.0,2717.0,26886.0,36110.0,12344.0,675034.0,1194104.0,75272375.0,1333849.0,4264276.82,1222023.0,5024384.15,0.0,0.0,24514.0,110103.25,8437789.0,16176289.37,4282058.0,6772971.82,6.0,16.5,28260178.0,136583411.2,1633.0,1486.54
65,"2022-04-01","Public Sector Banks","Bank of India",5238.0,2788.0,45968.0,11047.0,104.0,365669.0,165625.0,44965718.0,151623.0,513667.96,117028.0,304402.54,0.0,0.0,9542.0,54602.08,5057053.0,9142147.86,3035215.0,3588190.42,0.0,0.0,18232108.0,73163840.68,16826.0,16516.64
66,"2022-04-01","Public Sector Banks","Bank of Maharashtra",1708.0,437.0,2711.0,0.0,355014.0,436252.0,77592.0,12382388.0,93486.0,381074.49,0.0,0.0,0.0,0.0,1025.0,4914.01,3109508.0,4596897.07,1129497.0,1383566.08,10068.0,117930.05,7356797.0,31973557.14,0.0,0.0
67,"2022-04-01","Foreign Banks","Barclays Bank",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,729.73,39.0,36.96,0.0,0.0,392.0,3565.09,0.0,0.0
68,"2022-04-01","Private Sector Banks","CSB Bank",415.0,53.0,0.0,1119.0,3937.0,0.0,0.0,809076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245320.0,427177.34,52317.0,86656.78,12.0,110.0,466429.0,2253750.56,55.0,49.44
69,"2022-04-01","Public Sector Banks","Canara Bank",8074.0,4132.0,50234.0,8906.0,67.0,1255497.0,917871.0,47155319.0,633273.0,1659289.2,287619.0,902958.62,0.0,0.0,52349.0,258618.24,10155094.0,20059942.39,4636386.0,7301707.38,4765.0,78285.13,31552649.0,146298937.2,2576.0,2227.36
70,"2022-04-01","Small Finance Banks","Capital Small Finance Bank",162.0,2.0,0.0,0.0,0.0,0.0,0.0,185559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49355.0,122123.23,19172.0,35537.33,0.0,0.0,124289.0,669866.12,0.0,0.0
71,"2022-04-01","Public Sector Banks","Central Bank of India",2389.0,587.0,3946.0,8137.0,7647.0,179790.0,0.0,30407359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2794644.0,5920474.13,721543.0,1181989.45,0.0,0.0,9262441.0,42612111.12,9384.0,9501.86
